questions,answers
1. Java Source Code is compiled into ______________.,"['A. .Obj\n    B. Source Code\n    C. Bytecode\n    D. .Exe', 'View Answer\nAns : C Explanation: Java Source Code is compiled into Bytecode.']"
2. Enums were introduced in?,"['A. Java 4.0\n    B. Java 8.0\n    C. Java 5.0\n    D. Java 6.0', 'View Answer\nAns : C Explanation: Enums were introduced in Java 5.0. Enums restrict a variable to have one of only a few predefined values. The values in this enumerated list are called enums.']"
"3. Default, public , protected, private are?","[""A. Access Modifier\n    B. Non-access Modifiers\n    C. Both A and B\n    D. It's variable"", 'View Answer\nAns : A Explanation: Access Modifiers : default, public , protected, private']"
4. Which of the following is used to interpret and execute Java Applet Classes hosted by HTML.,"['A. appletviewer\n    B. appletwatcher\n    C. appletshow\n    D. appletscreen', 'View Answer\nAns : A Explanation: appletviewer is used to interpret and execute Java Applet Classes hosted by HTML.']"
5. HTML based Java Documentary help can be accessed using ______________.,"['A. javahelp\n    B. javamanual\n    C. javadoc\n    D. None of these', 'View Answer\nAns : C Explanation: HTML based Java Documentary help can be accessed using javadoc.']"
6. jar stands for _____________.,"['A. Java Application Runner\n    B. Java Archive\n    C. Java Archive Runner\n    D. None of these', 'View Answer\nAns : B Explanation: jar stands for Java Archive']"
7. Which of the following is not a keyword in Java.,"['A. transient\n    B. instanceof\n    C. emun\n    D. strictfp', 'View Answer\nAns : C Explanation: Incorrect spelling of the word ""enum"",enum is a keyword in Java.']"
8. Which of the following is not a keyword in Java.,"['A. assert\n    B. boolean\n    C. abstract\n    D. finalize', ""View Answer\nAns : D Explanation: Final class can't be inherited, final method can't be overridden and final variable value can't be changed. Finally is used to place important code, it will be executed whether exception is handled or not. Finalize is used to perform clean up processing just before object is garbage collected.""]"
9. Single line comment starts with _________ in Java.,"['A. /**\n    B. //\n    C. /*\n    D. None of these', 'View Answer\nAns : B Explanation: Single-line comments start with two forward slashes ( // ). Any text between // and the end of the line is ignored by Java']"
10. What is JRE?,"['A. JRE is a java based GUI application.\n    B. JRE is an implementation of the Java Virtual Machine which executes Java programs.\n    C. JRE is an application development framework.\n    D. None of the above', 'View Answer\nAns : B Explanation: Java Runtime Environment is an implementation of the Java Virtual Machine which executes Java programs. It provides the minimum requirements for executing a Java application.']"
11. How to compile java code in command prompt?,"['A. javac filename.java\n    B. java filename.java\n    C. javac filename\n    D. java filename', 'View Answer\nAns : A Explanation: Type javac filename.java and press enter to compile your code. If there are no errors in your code, the command prompt will take you to the next line.']"
12. How to run java program in command prompt?,"['A. javac filename.java\n    B. java filename.java\n    C. javac filename\n    D. java filename', 'View Answer\nAns : D Explanation: Now, type java filename to run your program.']"
13. Java is case sensitive?,"['A. True\n    B. False\n    C. Depends On Complier\n    D. May be true or false', 'View Answer\nAns : A Explanation: Case Sensitivity : Java is case sensitive, which means identifier Hello and hello would have different meaning in Java.']"
14. What is true in Java?,"['A. For all class names the first letter should be in Upper Case.\n    B. All method names should start with a Lower Case letter.\n    C. Name of the program file should exactly match the class name.\n    D. All of the above', 'View Answer\nAns : D Explanation: All of the above statement are true.']"
"15. All Java components require names. Names used for classes, variables, and methods are called?","['A. Variables\n    B. identifiers\n    C. Access Modifiers\n    D. Java Modifiers', 'View Answer\nAns : B Explanation: All Java components require names. Names used for classes, variables, and methods are called identifiers.']"
1. A ________  provides us with named storage that our programs can manipulate.,"['A. data type\n    B. constants\n    C. operators\n    D. variable', 'View Answer\nAns : D Explanation: A variable provides us with named storage that our programs can manipulate.']"
"2. Each variable in Java has a specific type, which determines the size and layout of the variable's memory.","['A. TRUE\n    B. FALSE\n    C. Can be true or false\n    D. Can not say', ""View Answer\nAns : A Explanation: True, Each variable in Java has a specific type, which determines the size and layout of the variable's memory.""]"
"3. To declare more than one variable of the specified type, we can use a __________ list.","['A. colon-separated\n    B. bracket-separated\n    C. comma-separated\n    D. None of the above', 'View Answer\nAns : C Explanation: To declare more than one variable of the specified type, you can use a comma-separated list.']"
4. How many kinds of variables in Java?,"['A. 2\n    B. 3\n    C. 4\n    D. 5', 'View Answer\nAns : B Explanation: There are three kinds of variables in Java : Local variables, Instance variables and Class/Static variables']"
5. Local variables are declared in?,"['A. methods\n    B. constructors\n    C. blocks\n    D. All of the above', 'View Answer\nAns : D Explanation: Local variables are declared in methods, constructors, or blocks.']"
6. What is true about Instance Variables in java?,"['A. Instance variables are declared in a class\n    B. When a space is allocated for an object in the heap, a slot for each instance variable value is created.\n    C. Instance variables can be declared in class level before or after use\n    D. All of the above', 'View Answer\nAns : D Explanation: All of the above are true about Instance Variables in java']"
7. Which variables have no default values?,"['A. Static Variables\n    B. Instance Variables\n    C. Local Variable\n    D. Both A and B', 'View Answer\nAns : C Explanation: There is no default value for local variables, so local variables should be declared and an initial value should be assigned before the first use.']"
8. Static variables can be accessed by calling with the?,"['A. Object name\n    B. Class name\n    C. Function name\n    D. Can not say', 'View Answer\nAns : B Explanation: Static variables can be accessed by calling with the class name ClassName.VariableName.']"
10. Access modifiers cannot be used for local variables.,"['A. Yes\n    B. No\n    C. Can be yes or no\n    D. Can not say', 'View Answer\nAns : A Explanation: Yes, Access modifiers cannot be used for local variables.']"
1. A program P reads in 500 integers in the range [0..100] exepresenting the scores of 500 students. It then prints the frequency of each score above 50. What would be the best way for P to store the frequencies?,"['A. An array of 50 numbers\n    B. An array of 100 numbers\n    C. An array of 500 numbers\n    D. A dynamically allocated array of 550 numbers', 'View Answer\nAns : A Explanation: An array of size 50 looks the best option to store number of students for each score. We need to store frequencies of scores above 50. We can ignore scores below 50 and to index the scores above 50, we can subtract 50 from the score value.']"
2. Which of these best describes an array?,"['A. A data structure that shows a hierarchical behavior\n    B. Container of objects of similar types\n    C. Container of objects of mixed types\n    D. All of the mentioned', 'View Answer\nAns : B Explanation: Array contains elements only of the same type.']"
"3. Let A be a square matrix of size n x n. Consider the following program. What is the expected output?  
    C = 100
    for i = 1 to n do
    for j = 1 to n do
    {
    Temp = A[i][j] + C
    A[i][j] = A[j][i]
    A[j][i] = Temp - C
    }
    for i = 1 to n do
    for j = 1 to n do
    Output(A[i][j]);","['A. The matrix A itself\n    B. Transpose of matrix A\n    C. Adding 100 to the upper diagonal elements & subtracting 100 from diagonal elements of A\n    D. None of the above', 'View Answer\nAns : A Explanation:If we take look at the inner statements of first loops, we can notice that the statements swap A[i][j] and A[j][i] for all i and j. Since the loop runs for all elements, every element A[l][m] would be swapped twice, once for i = l and j = m and then for i = m and j = l. Swapping twice means the matrix doesnâ€™t change.']"
"4.What is the output of the following piece of code?
      
    public class array
    {
    public static void main(String args[])
    {
    int []arr = {1,2,3,4,5};
    System.out.println(arr[2]);
    System.out.println(arr[4]);
    }
    }","['A. 3 and 5\n    B. 5 and 3\n    C. 2 and 4\n    D. 4 and 2', 'View Answer\nAns : A Explanation:Array indexing starts from 0.']"
"5. Consider an array A[20, 10], assume 4 words per memory cell and the base address of array A is 100. What is the address of A[11, 5] ? Assume row major storage.","['A. 560\n    B. 565\n    C. 570\n    D. 575', 'View Answer\nAns : A Explanation:No Explanation.']"
"6. What is the output of the following piece of code?
      
    public class array
    {
    public static void main(String args[])
    {
    int []arr = {1,2,3,4,5};
    System.out.println(arr[5]);
    }
    }","['A. 4\n    B. 5\n    C. ArrayIndexOutOfBoundsException\n    D. InavlidInputException', 'View Answer\nAns : C Explanation: Trying to access an element beyond the limits of an array gives ArrayIndexOutOfBoundsException.']"
8. Which of the following concepts make extensive use of arrays?,"['A. Binary trees\n    B. Scheduling of processes\n    C. Caching\n    D. Spatial locality', 'View Answer\nAns : D Explanation:Whenever a particular memory location is referred, it is likely that the locations nearby are also referred, arrays are stored as contigous blocks in memory, so if you want to access array elements, spatial locality makes it to access quickly.']"
"9.Let A[1...n] be an array of n distinct numbers. If i < j and A[i] > A[j], then the pair (i, j) is called an inversion of A. What is the expected number of inversions in any permutation on n elements ?","['A. Î¸(n)\n    B. Î¸(lgn)\n    C. Î¸(nlgn)\n    D. Î¸(n2)', 'View Answer\nAns : D Explanation:The expected number of inversions in any permutation on n elements is Î¸(n2).']"
10. Which of the following operations is not O(1) for an array of sorted data. You may assume that array elements are distinct.,"['A. Find the ith largest element\n    B. Delete an element\n    C. Find the ith smallest element\n    D. All of the above', 'View Answer\nAns : B Explanation:The worst case time complexity for deleting an element from array can become O(n).']"
11.The smallest element of an array's index is called its,"['A. lower bound. \n    B. upper bound. \n    C. range. \n    D. extraction.', 'View Answer\nAns : A Explanation:None']"
"12. The extra key inserted at the end of the array is called a,","['A. End key. \n    B. Stop key. \n    C. Sentinel. \n    D. Transposition.', 'View Answer\nAns : C Explanation: None']"
