questions,answers
1. What is a Data Structure?,"['Answer:-  Data structure is a way that specifies how to organize and manipulate the data so that the data can be used efficiently. It also specify the relationship between them. Some example of data structure are - array, linked list, stack etc.']"
2. What are linear and non linear data Structures?,"['Answer:-\nLinear Data Structure:  If all the elements are arranged in sequential order then it is called linear data strucutre for example Array, Linked List. \nNon Linear Data Structure If the elements are not arranged in sequential order then it is called non linear data structure for example Tree, Graph.']"
3. How Linked list is different from array?,"['Answer:-  Differences between array and linked list are - \n        1)\xa0 Arrays are index based data structure where each element is associated with an index. On the other hand, Linked list relies on references where each node consists of the data and the references to the previous and next element.\n        2)\xa0 The size of the arrays is fixed, Linked Lists are Dynamic in size.\n        3)\xa0 In array elements are accessed randomly using index while in linked list elements are accessed in sequence.\n        4)\xa0 Insertion and Deletion operations are expensive in array whereas it can be easily done in linked list.\n        5)\xa0 Extra memory space is required in linked list for storing address of next node.\n        6)\xa0 Element location is allocated during compile time in array while in linked list it is done during run time.']"
4. What are the criteria of algorithm analysis?,['Answer:-  Algorithms are analyzed on the basis of 2 factors - time and space. Time specify how much execution time and space specify how much extra space is required by the algorithm.']
5. What are the operations that can be performed on a data-structures?,['Answer:-  Following operations can be performed - \n        \xa0Insertion :Adding a new data item.\n        \xa0Deletion :Deleting the existing data item.\n        \xa0Traversal :Accessing each data item.\n        \xa0Searching :Finding a particular data item.\n        \xa0Sorting :Arranging the data item in a particular sequence.']
6. Explain the difference between Divide & Conquer and Dynamic programming?,['Answer:-  In divide and Conquer approach we divide the problem into minimum possible sub-problem and solve them independently. Divide-and-Conquer is a Top-Down Technique. In Dynamic Programming we diving the problem to a minimum possible sub-problem and solve them combinedly. Dynamic Programming is a Bottom-Up Technique.']
7. Which data structure is used to perform recursion?,['Answer:- Stack is used to perform recursion due its Last in First Property. Recursion makes use of system stack for storing the return addresses of the function calls.']
8. What are the operations that can be performed on a stack?,"['Answer:-  Various operations that can be performed on a stack are - \n        \xa0Push Operation :  Inserting the data item into the stack.\n        \xa0Pop Operation :  Deleting the data item from the stack.\n        \xa0Peek Operation:  Get the data item which is on the top of the stack, without removing it.']"
"9. Explain Infix, prefix, Postfix notations?",['Answer:-  \n        In Infix Notation operators are written in-between their operands. For example ->  A + B * C + D. In Prefix Notation operators are written before their operands. For example -> + + A * B C D. In  Postfix Notation operators are written after their operands. For example ->     A B C * + D +.']
10. What is a queue in data-structure?,['Answer:-  Queue is a linear data structure where the elements are inserted from one end called REAR and deleted from the other end called as FRONT. It follow First In First Out (FIFO) i.e the first element that is added to the queue is the first one to be removed.']
