question,A,B,C,D,answer,explanation
 Java Source Code is compiled into ,.Obj,Source Code,Bytecode,.Exe,C,Java Source Code is compiled into Bytecode.]
 Enums were introduced in?,Java 4.0,Java 8.0,Java 5.0,Java 6.0,C,Enums were introduced in Java 5.0. Enums restrict a variable to have one of only a few predefined values. The values in this enumerated list are called enums.]
" Default, public , protected, private are?",Access Modifier,Non-access Modifiers,Both A and B,Its variable,A,Access Modifiers : default
 Which of the following is used to interpret and execute Java Applet Classes hosted by HTML,appletviewer,appletwatcher,appletshow,appletscreen,A,appletviewer is used to interpret and execute Java Applet Classes hosted by HTML.]
 HTML based Java Documentary help can be accessed using ,javahelp,javamanual,javadoc,None of these,C,HTML based Java Documentary help can be accessed using javadoc.]
 jar stands for ,Java Application Runner,Java Archive,Java Archive Runner,None of these,B,jar stands for Java Archive]
 Which of the following is not a keyword in Java,transient,instanceof,emun,strictfp,C,Incorrect spelling of the word enum
 Which of the following is not a keyword in Java,assert,boolean,abstract,finalize,D,Final class cant be inherited
 Single line comment starts with  in Java,/**,//,/*,None of these,B,Single-line comments start with two forward slashes ( // ). Any text between // and the end of the line is ignored by Java]
 What is JRE?,JRE is a java based GUI application.,JRE is an implementation of the Java Virtual Machine which executes Java programs.,JRE is an application development framework.,None of the above,B,Java Runtime Environment is an implementation of the Java Virtual Machine which executes Java programs. It provides the minimum requirements for executing a Java application.]
 How to compile java code in command prompt?,javac filename.java,java filename.java,javac filename,java filename,A,Type javac filename.java and press enter to compile your code. If there are no errors in your code
 How to run java program in command prompt?,javac filename.java,java filename.java,javac filename,java filename,D,Now
 Java is case sensitive?,True,False,Depends On Complier,May be true or false,A,Case Sensitivity : Java is case sensitive
 What is true in Java?,For all class names the first letter should be in Upper Case.,All method names should start with a Lower Case letter.,Name of the program file should exactly match the class name.,All of the above,D,All of the above statement are true.]
 All Java components require names,Variables,identifiers,Access Modifiers,Java Modifiers,B,All Java components require names. Names used for classes
 A   provides us with named storage that our programs can manipulate,data type,constants,operators,variable,D,A variable provides us with named storage that our programs can manipulate.]
" Each variable in Java has a specific type, which determines the size and layout of the variable's memory",TRUE,FALSE,Can be true or false,Can not say,A,True
" To declare more than one variable of the specified type, we can use a  list",colon-separated,bracket-separated,comma-separated,None of the above,C,To declare more than one variable of the specified type
 How many kinds of variables in Java?,2,3,4,5,B,There are three kinds of variables in Java : Local variables
 Local variables are declared in?,methods,constructors,blocks,All of the above,D,Local variables are declared in methods
 What is true about Instance Variables in java?,Instance variables are declared in a class,When a space is allocated for an object in the heap,,,a slot for each instance variable value is created.,Instance variables can be declared in class level before or after use
 Which variables have no default values?,Static Variables,Instance Variables,Local Variable,Both A and B,C,There is no default value for local variables
