question,A,B,C,D,answer,explanation
 Java Source Code is compiled into ,.Obj,SourceCode,Bytecode,.Exe,C,JavaSourceCodeiscompiledintoBytecode.
 Enums were introduced in?,Java4.0,Java8.0,Java5.0,Java6.0,C,EnumswereintroducedinJava5.0.Enumsrestrictavariabletohaveoneofonlyafewpredefinedvalues.Thevaluesinthisenumeratedlistarecalledenums.
" Default, public , protected, private are?",AccessModifier,Non-accessModifiers,BothAandB,It'svariable,A,"AccessModifiers:default,public,protected,private"
 Which of the following is used to interpret and execute Java Applet Classes hosted by HTML,appletviewer,appletwatcher,appletshow,appletscreen,A,appletviewerisusedtointerpretandexecuteJavaAppletClasseshostedbyHTML.
 HTML based Java Documentary help can be accessed using ,javahelp,javamanual,javadoc,Noneofthese,C,HTMLbasedJavaDocumentaryhelpcanbeaccessedusingjavadoc.
 jar stands for ,JavaApplicationRunner,JavaArchive,JavaArchiveRunner,Noneofthese,B,jarstandsforJavaArchive
 Which of the following is not a keyword in Java,transient,instanceof,emun,strictfp,C,"Incorrectspellingoftheword""enum"",enumisakeywordinJava."
 Which of the following is not a keyword in Java,assert,boolean,abstract,finalize,D,"Finalclasscan'tbeinherited,finalmethodcan'tbeoverriddenandfinalvariablevaluecan'tbechanged.Finallyisusedtoplaceimportantcode,itwillbeexecutedwhetherexceptionishandledornot.Finalizeisusedtoperformcleanupprocessingjustbeforeobjectisgarbagecollected."
 Single line comment starts with  in Java,/**,//,/*,Noneofthese,B,Single-linecommentsstartwithtwoforwardslashes(//).Anytextbetween//andtheendofthelineisignoredbyJava
 What is JRE?,JREisajavabasedGUIapplication.,JREisanimplementationoftheJavaVirtualMachinewhichexecutesJavaprograms.,JREisanapplicationdevelopmentframework.,Noneoftheabove,B,JavaRuntimeEnvironmentisanimplementationoftheJavaVirtualMachinewhichexecutesJavaprograms.ItprovidestheminimumrequirementsforexecutingaJavaapplication.
 How to compile java code in command prompt?,javacfilename.java,javafilename.java,javacfilename,javafilename,A,"Typejavacfilename.javaandpressentertocompileyourcode.Iftherearenoerrorsinyourcode,thecommandpromptwilltakeyoutothenextline."
 How to run java program in command prompt?,javacfilename.java,javafilename.java,javacfilename,javafilename,D,"Now,typejavafilenametorunyourprogram."
 Java is case sensitive?,True,False,DependsOnComplier,Maybetrueorfalse,A,"CaseSensitivity:Javaiscasesensitive,whichmeansidentifierHelloandhellowouldhavedifferentmeaninginJava."
 What is true in Java?,ForallclassnamesthefirstlettershouldbeinUpperCase.,AllmethodnamesshouldstartwithaLowerCaseletter.,Nameoftheprogramfileshouldexactlymatchtheclassname.,Alloftheabove,D,Alloftheabovestatementaretrue.
